2382 QCI -- last 1,
,
Field Name,2024/09
Total cash and cash equivalents,"123,248,286"
Total current financial assets at fair value through profit or loss,"20,163,142"
Financial assets at fair value through other comprehensive income - Current,"7,139,168"
Financial assets measured at amortized cost - Current,0
Current financial assets for hedging,0
Current contract assets,0
Accounts & notes receivable,"403,025,744"
Other receivable,"1,635,199"
Loan to others - Short-Term,0
Total inventories,"223,773,939"
"Non-current assets classified as held for sale, net",0
Total current tax assets,0
Total current assets,"784,458,161"
Total non-current financial assets at fair value through profit or loss,"2,314,435"
Financial assets at fair value through other comprehensive income - Non-Current,"3,365,404"
Financial assets measured at amortized cost - Non-Current,"1,547,028"
