出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/01/03","113","3","1101","台泥","171245549.00","415241990.00","586487539.00","85893664.00","197210153.00","283103817.00","77511817.00","--","74019661.00","69687120.00","26423806.00","-732459.00","246909945.00","--","--","56473777.00","303383722.00","--","0.00","20000000.00","31.94"
"114/01/03","113","3","1102","亞泥","113444327.00","215347270.00","328791597.00","77548186.00","50505442.00","128053628.00","35465629.00","--","8249087.00","120421718.00","13615934.00","--","177752368.00","--","--","22985601.00","200737969.00","--","0.00","0.00","50.12"
"114/01/03","113","3","1103","嘉泥","10246779.00","25756701.00","36003480.00","2454258.00","11091088.00","13545346.00","7902474.00","--","1375977.00","10382067.00","3107286.00","-1055710.00","21712094.00","--","--","746040.00","22458134.00","--","0.00","129917726.00","32.88"
"114/01/03","113","3","1104","環泥","6680330.00","22394290.00","29074620.00","3625437.00","1387663.00","5013100.00","6866818.00","--","122793.00","13964890.00","2332070.00","--","23286571.00","--","--","774949.00","24061520.00","--","0.00","0.00","33.91"
"114/01/03","113","3","1108","幸福","5810858.00","4289657.00","10100515.00","4034244.00","1026119.00","5060363.00","4047380.00","--","18.00","1003173.00","-10486.00","--","5040085.00","--","--","67.00","5040152.00","--","0.00","0.00","12.45"
"114/01/03","113","3","1109","信大","6227525.00","4889036.00","11116561.00","857321.00","157845.00","1015166.00","3411589.00","--","15724.00","4844854.00","-55232.00","--","8216935.00","--","--","1884460.00","10101395.00","0.00","0.00","0.00","24.09"
"114/01/03","113","3","1110","東泥","2810611.00","9742249.00","12552860.00","1905948.00","1160678.00","3066626.00","5720008.00","--","188898.00","2477043.00","971715.00","-12185.00","9345479.00","--","--","140755.00","9486234.00","--","0.00","2112865.00","16.40"
"114/01/03","113","3","1201","味全","6862541.00","11146520.00","18009061.00","7070007.00","3288153.00","10358160.00","5060629.00","--","36115.00","2701934.00","-155503.00","--","7643175.00","--","--","7726.00","7650901.00","0.00","0.00","0.00","15.10"
"114/01/03","113","3","1203","味王","4671234.00","5661290.00","10332524.00","2066531.00","1349083.00","3415614.00","2400000.00","--","49397.00","3356560.00","215425.00","-38464.00","5982918.00","--","--","933992.00","6916910.00","0.00","0.00","2293865.00","25.17"
"114/01/03","113","3","1210","大成","29541586.00","38224342.00","67765928.00","31058028.00","3691890.00","34749918.00","8947673.00","--","4147136.00","10687023.00","1603378.00","-734822.00","24650388.00","--","--","8365622.00","33016010.00","--","0.00","49059471.00","29.15"
"114/01/03","113","3","1213","大飲","566806.00","388731.00","955537.00","735181.00","35709.00","770890.00","566226.00","--","21938.00","-403354.00","-163.00","--","184647.00","--","--","--","184647.00","0.00","0.00","0.00","3.26"
"114/01/03","113","3","1215","卜蜂","8557414.00","21269983.00","29827397.00","9732339.00","9427761.00","19160100.00","2947901.00","--","12271.00","5769852.00","1489142.00","--","10219166.00","--","--","448131.00","10667297.00","0.00","0.00","0.00","34.67"
"114/01/03","113","3","1216","統一","239446752.00","465471888.00","704918640.00","253714575.00","249675841.00","503390416.00","56820154.00","--","2795631.00","71724103.00","-1488772.00","--","129851116.00","--","--","71677108.00","201528224.00","0.00","0.00","0.00","22.85"
"114/01/03","113","3","1217","愛之味","3161260.00","12093601.00","15254861.00","3474519.00","3463421.00","6937940.00","4945134.00","--","268144.00","1358761.00","957679.00","--","7529718.00","--","--","787203.00","8316921.00","0.00","0.00","0.00","15.23"
"114/01/03","113","3","1218","泰山","6284323.00","8407022.00","14691345.00","1538514.00","437481.00","1975995.00","4999990.00","--","1014497.00","6986170.00","-86714.00","-203876.00","12710067.00","--","--","5283.00","12715350.00","--","0.00","13680042.00","26.14"
"114/01/03","113","3","1219","福壽","5362817.00","4512790.00","9875607.00","3364302.00","1938824.00","5303126.00","3416024.00","--","15030.00","1073722.00","-2147.00","-6735.00","4495894.00","--","--","76587.00","4572481.00","--","0.00","364000.00","13.18"
"114/01/03","113","3","1220","台榮","1972890.00","1335653.00","3308543.00","481667.00","185531.00","667198.00","1770779.00","--","24115.00","651590.00","0.00","-10881.00","2435603.00","--","--","205742.00","2641345.00","--","0.00","679000.00","13.81"
"114/01/03","113","3","1225","福懋油","4943050.00","3747680.00","8690730.00","3576070.00","1214694.00","4790764.00","2296382.00","--","123659.00","1149948.00","-97248.00","--","3472741.00","--","--","427225.00","3899966.00","--","0.00","0.00","15.12"
"114/01/03","113","3","1227","佳格","18890640.00","7929047.00","26819687.00","8268389.00","476381.00","8744770.00","9150897.00","--","173922.00","8597489.00","-129255.00","-21182.00","17771871.00","--","--","303046.00","18074917.00","0.00","0.00","6669471.00","19.56"
"114/01/03","113","3","1229","聯華","16595626.00","70372757.00","86968383.00","14851590.00","4044582.00","18896172.00","17104388.00","--","1153359.00","15190530.00","14536624.00","-136868.00","47848033.00","--","--","20224178.00","68072211.00","0.00","0.00","6894000.00","28.09"
"114/01/03","113","3","1231","聯華食","5477654.00","8422596.00","13900250.00","4019829.00","3747195.00","7767024.00","2713222.00","--","93840.00","3289076.00","18295.00","--","6114433.00","--","--","18793.00","6133226.00","--","0.00","0.00","22.54"
"114/01/03","113","3","1232","大統益","6373934.00","2545280.00","8919214.00","2181152.00","1266504.00","3447656.00","1599749.00","--","23784.00","3681708.00","4970.00","--","5310211.00","--","--","161347.00","5471558.00","0.00","0.00","0.00","33.19"
"114/01/03","113","3","1233","天仁","690630.00","1560533.00","2251163.00","562991.00","273606.00","836597.00","905919.00","--","18184.00","475313.00","13007.00","-1974.00","1410449.00","--","--","4117.00","1414566.00","0.00","0.00","43000.00","15.58"
"114/01/03","113","3","1234","黑松","8700388.00","15103326.00","23803714.00","2748404.00","2372599.00","5121003.00","4018711.00","--","187082.00","14354982.00","121936.00","0.00","18682711.00","--","--","0.00","18682711.00","--","0.00","0.00","46.49"
"114/01/03","113","3","1235","興泰","1546138.00","4730638.00","6276776.00","2332258.00","424670.00","2756928.00","1571480.00","--","321786.00","1095464.00","832936.00","-853562.00","2968104.00","--","--","551744.00","3519848.00","--","0.00","119079643.00","77.97"
"114/01/03","113","3","1236","宏亞","670784.00","3249272.00","3920056.00","553820.00","774791.00","1328611.00","866740.00","--","34205.00","1134768.00","555732.00","--","2591445.00","--","--","--","2591445.00","--","0.00","0.00","29.90"
"114/01/03","113","3","1256","鮮活果汁-KY","2038080.00","2465313.00","4503393.00","978660.00","75141.00","1053801.00","338422.00","--","1145562.00","1950623.00","14985.00","--","3449592.00","--","--","0.00","3449592.00","--","0.00","0.00","101.93"
"114/01/03","113","3","1301","台塑","142709436.00","378967198.00","521676634.00","119736244.00","87012032.00","206748276.00","63657408.00","0.00","11837260.00","202959009.00","36474681.00","0.00","314928358.00","0.00","--","0.00","314928358.00","--","0.00","0.00","49.47"
"114/01/03","113","3","1303","南亞","195751912.00","435919325.00","631671237.00","141063311.00","118020202.00","259083513.00","79308216.00","--","27736382.00","228337917.00","21287821.00","--","356670336.00","--","--","15917388.00","372587724.00","0.00","0.00","0.00","44.97"
"114/01/03","113","3","1304","台聚","28342732.00","43718141.00","72060873.00","14422184.00","13142400.00","27564584.00","11887635.00","--","490010.00","9806641.00","161920.00","-475606.00","21870600.00","--","--","22625689.00","44496289.00","--","0.00","116465574.00","20.40"
"114/01/03","113","3","1305","華夏","6727368.00","11265376.00","17992744.00","5070518.00","3301688.00","8372206.00","5810505.00","--","17728.00","3160696.00","46844.00","--","9035773.00","--","--","584765.00","9620538.00","--","0.00","0.00","15.55"
"114/01/03","113","3","1307","三芳","9352896.00","7573954.00","16926850.00","4135377.00","3101092.00","7236469.00","3978181.00","--","149299.00","5420446.00","142455.00","--","9690381.00","--","--","--","9690381.00","--","0.00","0.00","24.36"
"114/01/03","113","3","1308","亞聚","3032046.00","11151250.00","14183296.00","1265999.00","486361.00","1752360.00","5937438.00","--","37538.00","5954269.00","501691.00","--","12430936.00","--","--","--","12430936.00","--","0.00","0.00","20.94"
"114/01/03","113","3","1309","台達化","6498871.00","3354622.00","9853493.00","3166899.00","353365.00","3520264.00","3975868.00","--","3196.00","2196631.00","157534.00","--","6333229.00","--","--","--","6333229.00","0.00","0.00","0.00","15.93"
"114/01/03","113","3","1310","台苯","2402160.00","6938920.00","9341080.00","2047582.00","267819.00","2315401.00","5278698.00","--","128593.00","666979.00","825924.00","--","6900194.00","--","--","125485.00","7025679.00","--","0.00","0.00","13.07"
"114/01/03","113","3","1312","國喬","13712171.00","49785841.00","63498012.00","7415312.00","18879048.00","26294360.00","11266203.00","--","1071508.00","20954362.00","488825.00","-49858.00","33731040.00","--","--","3472612.00","37203652.00","--","0.00","1776000.00","29.99"
"114/01/03","113","3","1313","聯成","20924049.00","35619384.00","56543433.00","10008449.00","17785143.00","27793592.00","13676726.00","--","1373925.00","2517128.00","11621003.00","-438941.00","28749841.00","--","--","--","28749841.00","--","306500.00","38665000.00","21.63"
"114/01/03","113","3","1314","中石化","71977864.00","73314327.00","145292191.00","35261320.00","30753857.00","66015177.00","37848502.00","--","1582006.00","40214641.00","-455822.00","--","79189327.00","--","--","87687.00","79277014.00","0.00","0.00","0.00","20.92"
"114/01/03","113","3","1315","達新","6873811.00","3808912.00","10682723.00","540222.00","252198.00","792420.00","990990.00","--","239999.00","7421934.00","1291479.00","-83230.00","9861172.00","--","--","29131.00","9890303.00","0.00","0.00","3572068.00","103.23"
"114/01/03","113","3","1316","上曜","12626994.00","3509724.00","16136718.00","7737003.00","257087.00","7994090.00","3006110.00","--","592548.00","-195341.00","-151.00","-46887.00","3356279.00","--","--","4786349.00","8142628.00","0.00","0.00","19983058.00","11.96"
"114/01/03","113","3","1319","東陽","11314374.00","23489739.00","34804113.00","6263949.00","1804679.00","8068628.00","5914771.00","--","4151122.00","15946597.00","194216.00","--","26206706.00","--","--","528779.00","26735485.00","--","0.00","0.00","44.31"
"114/01/03","113","3","1321","大洋","2372696.00","9605066.00","11977762.00","1236706.00","4567035.00","5803741.00","2272283.00","--","21532.00","3679254.00","237141.00","-36189.00","6174021.00","--","--","--","6174021.00","0.00","0.00","6542716.00","27.98"
